#R(kpc) median 16percentile 84percentile lowparam highparam  
0.000e+00 14.19 13.57 14.57  7.6  7.8
1.071e+01 14.04 13.44 14.41  7.6  7.8
2.143e+01 13.95 13.29 14.33  7.6  7.8
3.214e+01 13.84 13.08 14.23  7.6  7.8
4.286e+01 13.76 12.96 14.17  7.6  7.8
5.357e+01 13.72 12.82 14.11  7.6  7.8
6.429e+01 13.71 12.82 14.04  7.6  7.8
7.500e+01 13.57 12.76 14.01  7.6  7.8
8.571e+01 13.52 12.68 13.97  7.6  7.8
9.643e+01 13.49 12.63 13.94  7.6  7.8
1.071e+02 13.44 12.61 13.92  7.6  7.8
1.179e+02 13.38 12.54 13.88  7.6  7.8
1.286e+02 13.33 12.45 13.86  7.6  7.8
1.393e+02 13.30 12.41 13.84  7.6  7.8
1.500e+02 13.25 12.29 13.82  7.6  7.8
