specfile|restwave|zsys|col|bval|vel|nflag|bflag|vflag|vlim1|vlim2|wobs1|wobs2|z_comp|trans|rely|comment
J1159+5106_nbin3_jwnorm_meth3.fits|1548.20400|0.00295014|13.0100|10.0000|0.0000|2|2|2|-53.8663|53.8663|1552.49244|1553.05044|0.00295014|CIV|b|
J1159+5106_nbin3_jwnorm_meth3.fits|1550.78100|0.00295014|13.0100|10.0000|0.0000|2|2|2|-53.8663|53.8663|1555.07658|1555.63551|0.00295014|CIV|b|
J1159+5106_nbin3_jwnorm_meth3.fits|1548.20400|0.00339689|13.3200|25.2000|0.0000|3|3|3|-77.2864|77.2864|1553.06265|1553.86361|0.00339689|CIV|b|
J1159+5106_nbin3_jwnorm_meth3.fits|1550.78100|0.00339689|13.3200|25.2000|0.0000|3|3|3|-77.2864|77.2864|1555.64774|1556.45004|0.00339689|CIV|b|
J1159+5106_nbin3_jwnorm_meth3.fits|1215.67000|0.27955651|13.4500|29.1000|0.0000|4|4|4|-43.3272|43.3272|1555.29366|1555.74328|0.27955651|HI|b|
J1159+5106_nbin3_jwnorm_meth3.fits|1215.67000|0.27999648|13.8600|52.7000|0.0000|5|5|5|-52.6953|52.6953|1555.77984|1556.32686|0.27999648|HI|b|
J1159+5106_nbin3_jwnorm_meth3.fits|1215.67000|0.28034647|13.4600|14.3000|0.0000|6|6|6|-24.5911|24.5911|1556.35112|1556.60647|0.28034647|HI|b|
J1159+5106_nbin3_jwnorm_meth3.fits|1215.67000|0.28058645|13.3500|12.8000|0.0000|7|7|7|-24.5911|24.5911|1556.64284|1556.89824|0.28058645|HI|b|
J1159+5106_nbin3_jwnorm_meth3.fits|1215.67000|0.28081144|13.2600|10.0000|0.0000|8|8|8|-18.7361|18.7361|1556.94674|1557.14136|0.28081144|HI|b|
J1159+5106_nbin3_jwnorm_meth3.fits|1215.67000|0.28112643|13.4500|31.5000|0.0000|9|9|9|-50.3533|50.3533|1557.16540|1557.68857|0.28112643|HI|b|
